wavelength(nm), voltage(V)
2439.703, 134.833
1276.206, 102.063
1665.593,  98.818
1868.467, 123.123
2075.338, 103.849
1962.510,  96.542
1563.689,  91.829
1395.864, 107.955
2112.962,  74.537
1434.756, 129.239
1985.003, 149.942
1677.646,  93.661
1602.005, 145.305
1396.290, 122.202
1541.264,  99.306
1527.722, 112.275
1319.090, 127.142
1594.974,  69.741
1528.448,  73.074
1777.227,  77.018
1869.579, 144.420
2084.553,  96.869
2081.979,  98.241
1232.844,  87.406
2189.267, 109.920
1519.487,  98.640
1260.935, 103.710
1667.762, 113.061
1389.445, 123.430
1344.000,  81.067
1862.305,  79.481
1480.754, 134.175
1691.726, 171.367
1602.158, 113.612
1514.976,  88.922
1578.348, 120.010
1834.804,  89.331
1414.184, 106.360
1662.446, 130.617
1782.781, 122.643
1712.891,  84.390
1624.720,  85.376
1230.129,  79.531
1451.856, 122.793
1549.720, 107.653
1468.123,  52.737
1834.053,  87.525
1774.583,  98.670
1207.947,  89.179
2105.687, 119.011
2012.154, 117.876
2197.431, 104.197
1946.316,  78.632
1375.575, 116.689
1483.124,  72.373
1660.281,  98.340
1242.681, 122.807
3881.868,  81.728
1425.193, 129.057
1931.112, 149.383
1642.567, 104.715
1315.844, 152.649
1262.329, 100.994
1239.258,  99.352
1875.809,  73.335
1228.786,  96.164
1726.876, 107.460
1600.426, 149.534
1811.079, 101.787
1690.084, 114.794
1256.941, 130.500
2174.411, 113.971
1704.381, 105.484
1873.574, 114.504
1862.040,  63.498
1619.317,  77.995
1394.679, 101.465
1350.327, 113.037
1286.732, 135.251
1275.440,  84.625
1427.551,  88.555
1879.923, 128.894
1346.801,  81.755
1363.989, 121.611
1935.041,  99.072
1338.199, 100.509
1268.218,  90.621
1264.218,  82.313
1466.424,  76.381
1531.498,  94.379
1289.639, 109.629
1543.600, 145.338
1704.970,  99.667
2035.577, 101.018
1557.730,  99.130
1486.949, 116.321
1276.804,  91.248
1893.838, 102.044
1276.640,  99.128
1692.964, 133.272
2166.647, 133.114
1266.182, 114.009
3015.767,  83.036
1321.400, 112.465
1274.278, 132.063
1882.255,  81.846
1269.730, 111.183
1543.285,  93.242
2007.333,  84.837
1208.506,  85.193
1490.105, 105.829
1863.553,  82.276
1910.968, 115.919
1216.994, 124.802
1999.864,  97.086
1350.018,  90.555
1995.479, 136.114
1454.032,  90.856
1507.035, 125.819
1386.418,  95.077
1551.235, 108.470
1282.714, 138.123
1229.257, 101.507
1820.437, 120.755
1283.126, 116.248
1915.003,  80.089
1906.877,  91.565
1506.162, 110.243
1257.573, 113.642
1412.415, 136.321
1835.315, 113.454
1204.329,  75.197
2333.737,  78.942
1909.624, 104.498
1431.311, 100.695
1387.999,  93.332
1408.020,  84.940
1557.279,  66.905
1503.197,  98.786
1560.914, 147.240
2017.118,  91.987
1371.295,  73.797
1581.253,  80.557
1804.241,  67.329
1228.042, 116.759
1626.868,  92.289
1619.186, 111.678
1264.502,  83.671
1242.413, 151.612
1875.310,  87.670
1434.711, 135.425
1778.102,  88.396
1276.530, 103.740
1609.188,  98.763
1413.291,  89.960
1338.807,  96.569
2309.269,  68.489
1764.104,  92.189
1796.451, 127.992
3121.940,  87.692
2195.721,  83.575
1929.556,  87.629
1451.479,  96.602
1308.576, 138.577
1741.798,  77.673
1748.059, 117.881
1303.739,  73.433
1615.709,  89.663
1299.124,  95.949
1480.477, 116.426
1636.949, 131.274
1676.511, 100.252
1604.833, 101.977
1509.013,  90.483
1693.611,  97.150
2036.793,  87.319
1321.011,  82.510
1355.366,  77.694
1852.014,  97.187
1238.762,  90.859
1206.116, 138.417
1211.141,  70.368
1867.358, 109.486
2444.565, 109.079
1849.264, 102.655
1331.236,  73.219
2070.789, 135.387
2005.986, 105.840
1649.998, 111.123
1863.088,  85.056
2102.138, 148.896
1453.804, 125.242
1662.218, 126.846
1281.782, 122.111
1264.675,  92.554
