30cm_Ruler_m 30cm_Unc_m 2m_Ruler_m 2m_Unc_m
-------------------------------------------
3.354 0.010 3.363 0.005
3.360 0.020 3.365 0.010
3.350 0.161 3.370 0.012
3.366 0.067 3.363 0.033
3.357 0.022 3.364 0.010
3.363 0.013 3.363 0.002
3.367 0.003 3.358 0.001
3.354 0.105 3.367 0.015
3.362 0.115 3.364 0.035
3.364 0.055 3.362 0.015
3.355 0.055 3.368 0.020
3.368 0.050 3.364 0.020
3.376 0.050 3.360 0.010
3.355 0.050 3.667 0.025
3.231 0.060 3.265 0.035
3.500 0.050 3.400 0.010
3.376 0.011 3.363 0.032
3.333 0.042 3.384 0.071
3.437 0.137 3.674 0.084
3.353 0.020 3.364 0.003
3.056 0.073 3.364 0.052
3.355 0.008 3.359 0.004
3.355 0.120 3.345 0.100
3.368 0.012 3.366 0.002
3.663 0.100 3.367 0.010
3.055 0.125 3.372 0.040
3.358 0.007 3.370 0.003
3.355 0.022 3.371 0.004
3.082 0.022 3.328 0.105
3.443 0.068 3.350 0.015
3.365 0.020 3.367 0.010
3.118 0.045 3.366 0.010
3.340 0.040 3.376 0.015
3.350 0.050 3.365 0.020
3.367 0.024 3.369 0.004
3.330 0.100 3.341 0.050
2.156 0.002 3.365 0.002
3.044 0.002 3.365 0.001
3.338 0.035 3.371 0.015
3.365 0.200 3.365 0.100
3.035 0.005 3.375 0.005
3.270 0.005 3.365 0.001
3.360 0.030 3.366 0.010
3.361 0.010 3.365 0.005
3.056 0.050 3.367 0.010
3.374 0.120 3.372 0.020
3.351 0.050 3.364 0.005
3.060 0.010 3.367 0.001
2.814 0.345 3.456 0.100
3.361 0.052 3.362 0.100
3.368 0.006 3.365 0.002
3.348 0.006 3.338 0.001
3.360 0.005 3.365 0.003
3.362 0.008 3.365 0.003
3.368 0.041 3.369 0.003
3.667 0.061 2.365 0.015
3.352 0.010 3.365 0.010
3.959 0.002 3.365 0.005
3.367 0.006 3.364 0.001
3.366 0.020 3.367 0.002
3.351 0.010 3.366 0.008
3.361 0.005 3.359 0.003
3.368 0.130 3.364 0.050
1.384 0.011 1.351 0.003
3.275 0.100 3.365 0.050
3.350 0.050 3.370 0.020
3.299 0.060 3.400 0.150
3.369 0.001 3.365 0.001
3.655 0.036 3.655 0.014
3.350 0.100 3.377 0.015
3.363 0.015 3.345 0.020
3.369 0.010 3.366 0.010
3.355 0.020 3.365 0.005
3.362 -1.00 3.375 -1.00
